Id,Label,Weight
0,AUS,941579.3670591781
1,AUT,286945.37879340205
2,BEL,370911.57909664704
3,BGR,48531.99048376409
4,BRA,1289483.2582056324
5,CAN,1038862.2438763727
6,CHE,433148.90579201735
7,CHN,8230336.2172334725
8,CYP,14147.001125832938
9,CZE,243083.3664199819
10,DEU,2769165.7644886323
11,DNK,209639.53198411016
12,ESP,1431198.456290255
13,EST,16791.861902419394
14,FIN,216377.57202561077
15,FRA,2023929.711898985
16,GBR,1907861.3193133082
17,GRC,185032.85139201442
18,HRV,44101.15936080687
19,HUN,99164.65006212017
20,IDN,422153.9507809606
21,IND,1043911.5296734214
22,IRL,216688.46280793357
23,ITA,2115568.705981485
24,JPN,4269655.669739021
25,KOR,1119437.2222041269
26,LTU,25573.57422096462
27,LUX,44286.617766626114
28,LVA,29002.942916002274
29,MEX,581254.8151111039
30,MLT,5700.597231574078
31,NLD,565094.4007647436
32,NOR,265454.7095489225
33,POL,453995.8377929203
34,PRT,194794.00413956138
35,ROU,152821.80381192235
36,RUS,1253577.1932692602
37,SVK,81047.53351072915
38,SVN,40414.46547299634
39,SWE,347601.82350630045
40,TUR,556187.0446959471
41,TWN,370256.7569449381
42,USA,10778888.178476162
