Id,Label,Weight
0,AUS,1118174.638517608
1,AUT,253374.47662429145
2,BEL,333411.91483722016
3,BGR,41043.07874891305
4,BRA,1528055.0688550125
5,CAN,1112331.6739176288
6,CHE,451304.8703031842
7,CHN,11031571.657717854
8,CYP,12882.394179837733
9,CZE,199432.6010020592
10,DEU,2442643.169809238
11,DNK,176426.96646192644
12,ESP,1124906.035027285
13,EST,13342.511170080172
14,FIN,180850.38171132305
15,FRA,1782813.8583087432
16,GBR,1613372.1987187238
17,GRC,153371.72796544034
18,HRV,34603.45666985792
19,HUN,76165.00261467138
20,IDN,587610.6012642825
21,IND,1364012.2817918244
22,IRL,121020.971024158
23,ITA,1812998.2850090417
24,JPN,4367544.908442985
25,KOR,1233104.9727105624
26,LTU,18685.780443930504
27,LUX,43978.24314405225
28,LVA,21009.84913287733
29,MEX,528316.6522193885
30,MLT,5391.915902139377
31,NLD,501451.91187848896
32,NOR,232574.2260818491
33,POL,393849.40309115505
34,PRT,166176.20434025573
35,ROU,131069.34446994615
36,RUS,1166734.7915523131
37,SVK,71170.9301491331
38,SVN,33435.19306002909
39,SWE,316439.38760075666
40,TUR,548605.7093747968
41,TWN,403386.7916605717
42,USA,9984838.99672876
