Id,Label,Weight
0,AUS,621270.8334152992
1,AUT,182943.91521240646
2,BEL,257373.4614665273
3,BGR,23273.09358824346
4,BRA,518405.7650416172
5,CAN,695308.9845776741
6,CHE,304191.21156930184
7,CHN,3089210.186179372
8,CYP,8783.372931436857
9,CZE,118424.36628058211
10,DEU,1955911.733883591
11,DNK,134473.55269229092
12,ESP,894684.8716008505
13,EST,9400.552728485407
14,FIN,144410.76531690167
15,FRA,1427387.7830850892
16,GBR,1547575.594638366
17,GRC,133253.10703892837
18,HRV,25057.57536591899
19,HUN,66237.09457524074
20,IDN,222288.29291853603
21,IND,585562.4267842504
22,IRL,125050.89676586901
23,ITA,1519288.9075043043
24,JPN,3677718.995276106
25,KOR,731773.665444281
26,LTU,11942.0233468731
27,LUX,21552.95772420794
28,LVA,11555.835039768413
29,MEX,383058.43436856696
30,MLT,3597.464571281084
31,NLD,399811.10003310454
32,NOR,142436.34864534662
33,POL,207758.1539032064
34,PRT,139655.7242856891
35,ROU,57310.582799770724
36,RUS,436150.6115613649
37,SVK,36292.3792355768
38,SVN,23426.173189289762
39,SWE,245604.23320448762
40,TUR,309198.10195160017
41,TWN,278583.1755719052
42,USA,8562795.338926496
