Id,Label,Weight
0,AUS,393442.3427714869
1,AUT,125167.8738127174
2,BEL,185724.26755696157
3,BGR,13799.382167935895
4,BRA,394438.6653534749
5,CAN,513186.2060170528
6,CHE,234925.96297498172
7,CHN,2141497.62617052
8,CYP,6307.328407849159
9,CZE,79781.45377844425
10,DEU,1405165.7718729086
11,DNK,98613.25261447596
12,ESP,563724.5746125898
13,EST,6082.770722600269
14,FIN,102067.61343286144
15,FRA,1036230.3266418495
16,GBR,1168232.2911605358
17,GRC,92497.24069077305
18,HRV,15204.504493494278
19,HUN,46181.476206752384
20,IDN,173925.11406159354
21,IND,408524.52018141357
22,IRL,77303.07516913861
23,ITA,1078152.7513711024
24,JPN,3131256.4337412873
25,KOR,561010.3473296858
26,LTU,7964.922390341289
27,LUX,14827.065962638104
28,LVA,7211.388559742589
29,MEX,371187.4223917577
30,MLT,2608.566905749447
31,NLD,302777.88719126274
32,NOR,112139.99703853537
33,POL,157974.5958418474
34,PRT,100080.1606787938
35,ROU,35015.5861390952
36,RUS,248629.41180431962
37,SVK,24639.098721483217
38,SVN,16731.904396814767
39,SWE,173473.06390703894
40,TUR,194832.62407398212
41,TWN,222006.97925398385
42,USA,7556374.905845067
