Id,Label,Weight
0,AUS,684282.5716802814
1,AUT,193308.58361267552
2,BEL,269146.56212541705
3,BGR,26892.684133147013
4,BRA,704823.5326989966
5,CAN,784179.5357678569
6,CHE,315474.2094703246
7,CHN,3951465.2520607375
8,CYP,9321.968840310688
9,CZE,131307.6696889019
10,DEU,2028160.8647226426
11,DNK,146476.73954558955
12,ESP,1010014.5699311949
13,EST,10542.600418048747
14,FIN,151343.16618608776
15,FRA,1490893.0418787315
16,GBR,1553045.4646332974
17,GRC,138161.7555552981
18,HRV,28154.75392657601
19,HUN,75844.69558797222
20,IDN,232682.7376317863
21,IND,662493.5063430743
22,IRL,139279.27580278122
23,ITA,1577902.848759819
24,JPN,3715249.9601459
25,KOR,893258.0757687396
26,LTU,13540.114242746435
27,LUX,26421.25876721649
28,LVA,13604.143702440122
29,MEX,447890.7873176484
30,MLT,3800.143613372913
31,NLD,413644.8103300221
32,NOR,162207.78961581658
33,POL,246334.24273529835
34,PRT,145275.1544048489
35,ROU,71281.13266498836
36,RUS,553504.011087221
37,SVK,39331.33103781367
38,SVN,24671.53684598537
39,SWE,257102.35691494824
40,TUR,381160.9850438609
41,TWN,303356.06684296514
42,USA,9419359.668837016
