Id,Label,Weight
0,AUS,349647.3300210052
1,AUT,114524.32169487113
2,BEL,180205.20810745368
3,BGR,12279.022494255525
4,BRA,414504.5087322124
5,CAN,505844.8183996615
6,CHE,207106.26938393535
7,CHN,2017766.843345091
8,CYP,5907.385194574681
9,CZE,66086.59116516677
10,DEU,1348523.5291822087
11,DNK,92248.13947540763
12,ESP,471304.39335136255
13,EST,5241.683348170497
14,FIN,94972.73866625303
15,FRA,963099.6035076334
16,GBR,1073453.178921197
17,GRC,79218.07142031626
18,HRV,13357.446516331896
19,HUN,38131.28329655585
20,IDN,133207.61977616354
21,IND,384522.9995387988
22,IRL,66518.17139627978
23,ITA,990698.143384182
24,JPN,3314574.277050989
25,KOR,487563.50622998463
26,LTU,6819.731787595772
27,LUX,13659.643081868979
28,LVA,6580.917249564851
29,MEX,360908.6994076876
30,MLT,2430.457107362504
31,NLD,273210.1690287446
32,NOR,96811.30141634244
33,POL,157638.85695465328
34,PRT,94310.9326003675
35,ROU,30758.755397182238
36,RUS,231194.8741208864
37,SVK,21071.01064905432
38,SVN,14798.23717097454
39,SWE,160921.9971006475
40,TUR,191039.60900042625
41,TWN,214337.866682578
42,USA,7614918.55957127
