Id,Label,Weight
0,AUS,1236209.4372069105
1,AUT,278357.97921495984
2,BEL,350399.8281479382
3,BGR,41774.3069813999
4,BRA,1691795.3075051224
5,CAN,1275088.123016434
6,CHE,527394.2410572633
7,CHN,18327275.43891989
8,CYP,12827.126196147256
9,CZE,193174.4289427413
10,DEU,2600372.65106782
11,DNK,185088.18772639454
12,ESP,1014650.6139484751
13,EST,17136.991296831908
14,FIN,195036.2534284432
15,FRA,1874593.1203251341
16,GBR,1823673.992057415
17,GRC,123856.35694482324
18,HRV,33172.180910479896
19,HUN,72131.04838170871
20,IDN,690656.5646664185
21,IND,1477458.2605040504
22,IRL,108527.2585081352
23,ITA,1753898.174674615
24,JPN,3905881.694238105
25,KOR,1479715.031015784
26,LTU,20986.78944074092
27,LUX,51948.95501767157
28,LVA,25928.666608943087
29,MEX,642968.4086672615
30,MLT,7117.735249558073
31,NLD,535082.7748480515
32,NOR,282539.8758501891
33,POL,425998.8541628076
34,PRT,147711.56900499572
35,ROU,157199.40029534936
36,RUS,1572635.9554490112
37,SVK,77805.08821394258
38,SVN,31314.15700476153
39,SWE,368655.6345856611
40,TUR,591761.0841637122
41,TWN,445833.2943204484
42,USA,11483282.455598336
