Source,Target,Weight
41,0,1953.888664214527
41,1,114.00086791844751
41,2,328.0720411537628
41,3,0.9284364402134054
41,4,515.2721373741352
41,5,720.798859984625
41,6,376.23374291505854
41,7,3843.241894657653
41,8,0.2534480501832771
41,9,20.669694932050888
41,10,2878.1964312523473
41,11,92.44913753260764
41,12,242.63204870780228
41,13,2.6379618036187336
41,14,105.6169366401085
41,15,911.3689691860319
41,16,880.5119588019785
41,17,9.024541520006832
41,18,0.3580805685828741
41,19,10.925843568546915
41,20,1509.5423924582428
41,21,482.82359897450584
41,22,139.373292179148
41,23,711.377466185533
41,24,18275.62835226212
41,25,6555.105118322187
41,26,0.6652753333377641
41,27,23.804796989139682
41,28,0.7486176349739809
41,29,177.3364928880941
41,30,5.285508862864568
41,31,594.9450136513423
41,32,82.13746707600096
41,33,55.73180600505218
41,34,22.726690936201102
41,35,24.747690078506388
41,36,303.20689841753034
41,37,1.4395286046313691
41,38,3.1350728928883504
41,39,366.8837417125768
41,40,509.9433137036768
41,42,8939.991622014113
0,41,1118.8416320957958
1,41,264.07420391046026
2,41,196.2659571398326
3,41,11.465260087368689
4,41,893.6246410506823
5,41,2277.065055916222
6,41,103.11399857816127
7,41,23015.05458270244
8,41,13.273458663825231
9,41,236.3970774750943
10,41,2581.113523480348
11,41,281.1194942555521
12,41,411.2506825467704
13,41,8.1145267643996
14,41,129.5068701136252
15,41,1369.1693364139635
16,41,1769.127772373638
17,41,56.55054621482253
18,41,17.469663910838552
19,41,421.73955163387006
20,41,771.861448099891
21,41,467.8455605349026
22,41,404.96420834625394
23,41,861.047189392143
24,41,7310.1933688534045
25,41,3549.3591449754317
26,41,12.142672093631553
27,41,4.931900668195371
28,41,4.3427658773207884
29,41,3722.3272609599157
30,41,6.832230756283632
31,41,459.5083364578402
32,41,284.3968920778958
33,41,236.60206100306996
34,41,55.030998109297705
35,41,189.19583803908185
36,41,106.84182739981932
37,41,73.65462105892732
38,41,28.842397184652587
39,41,272.0274795928264
40,41,321.5276335353844
42,41,12697.921987671238
