Id,Label,Weight
0,AUS,725084.565406583
1,AUT,211370.59339742878
2,BEL,293875.1463112976
3,BGR,31603.51196285872
4,BRA,854350.0330141283
5,CAN,886475.5832838288
6,CHE,327818.54271524627
7,CHN,4863542.508407583
8,CYP,10345.138731798988
9,CZE,157797.96847444386
10,DEU,2149109.5315342937
11,DNK,160113.1672009325
12,ESP,1145249.8758815718
13,EST,12103.08200489994
14,FIN,167788.63939208066
15,FRA,1599273.278235685
16,GBR,1746614.7886748796
17,GRC,154061.76600129128
18,HRV,32025.961335780736
19,HUN,73643.31416517243
20,IDN,310245.53698251065
21,IND,755635.8987339428
22,IRL,163756.05657115616
23,ITA,1679098.7714863657
24,JPN,3624361.82533353
25,KOR,1034371.2622819188
26,LTU,15485.711104194485
27,LUX,33334.9369429681
28,LVA,18336.016480275
29,MEX,492956.82027708937
30,MLT,4086.127323743711
31,NLD,435966.76448208344
32,NOR,185313.7227902104
33,POL,282429.56180098
34,PRT,148962.46136019615
35,ROU,88741.58192755729
36,RUS,726997.5563005805
37,SVK,45739.74395278378
38,SVN,27605.37969006252
39,SWE,275905.0251200061
40,TUR,410756.7855872021
41,TWN,322520.45228556864
42,USA,9897588.124094484
