Theta,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.8,[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],"[['JPN'], []]"
0.805,[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],"[['JPN'], []]","[['JPN'], []]"
0.81,[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],"[['JPN'], []]",[[]],"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
0.815,[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],[[]],"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
0.82,[[]],[[]],[[]],[[]],[[]],[[]],"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
0.825,[[]],"[['JPN'], []]","[['JPN'], []]",[[]],[[]],"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
0.83,"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
0.835,"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
0.84,"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
0.845,"[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]","[['JPN'], []]"
