,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,TWN,USA,ROW
AUS,684282.5716802814,102.93492588134245,500.83751896164244,60.146624948551256,760.9088626952807,1749.16726884852,252.70649884473576,15414.415321667315,5.359597137282097,85.81438056899252,1294.7936826718067,338.68452406437285,667.6236989839225,1.9105786771567348,445.2798969648354,1099.0683709678008,3088.5715227418204,61.319285874151305,6.568610429297963,24.212939845940223,3531.450539682064,7188.946907284546,129.73512408572628,1590.720042506186,22565.27240277791,9080.474544966646,2.9090964314695835,23.12042326266374,3.9285441666090257,785.6115863930236,42.34993809335436,1007.1603349540442,101.45737086250143,55.79693116045765,14.794891366496294,37.72140945006575,192.73476477096423,18.598238078324666,7.3594529299639015,397.91290520540616,443.5825942619399,3850.1132081521605,3982.425487553523,34173.64253002936
AUT,306.98132457501674,193308.58361267552,1451.1111630561443,259.008903359807,298.1690070248636,1194.6654931215212,4029.0012949966526,987.6528147953114,68.76760002194217,2732.0707193479916,25082.011224992377,518.9445711368867,1689.0391547228508,51.66506430151451,503.02588482470327,3372.635097357686,3544.373730665986,278.87361245900723,1026.5719618242367,3374.2938418628187,91.62568979077732,784.9006234774871,325.16979264819236,6967.756842471808,885.8903025448458,416.0886920363358,64.7080447774355,175.66387737515885,66.71832157829743,294.29471199786565,146.62194822129334,1327.9165471655635,363.0753592447674,1516.6105514421072,230.4417957084408,1141.870292878253,929.068243651084,1244.121410138093,1205.6292882927435,1157.688913862517,688.6071436002765,182.1643562919637,3278.669211101202,8760.622668665212
BEL,470.35490493887517,1672.042638776443,269146.56212541705,125.73197630184235,776.7992939022255,809.8725722291122,2920.1749420308547,1865.3392971286019,87.42897949808568,1086.6516717178147,28348.16989485996,2164.0633057624973,4486.104014197366,86.05736205317623,1067.8789336226778,24744.197249605648,11137.166007907908,868.8931475794928,117.03187262559462,599.9501508953518,231.60543013956286,1176.334757990033,2392.815643715343,7743.994888517073,1374.2548259721138,800.9927944147706,116.23976492791007,3915.367881260743,71.08493606056066,514.3152376349046,82.25534938636348,13495.167885752315,1046.4559091115498,1798.4540264399225,831.9819421841959,372.0900886520629,1073.0147982745605,281.65985171943134,149.48298167317083,2767.9806392196647,1654.9882496781393,422.1425433779586,8421.958847938115,16329.700428090386
BGR,6.671528407731799,125.11674597464366,415.99389711513436,26892.684133147013,32.09112944132409,26.86713708189764,22.95226064182673,50.679633310078536,19.230127801898373,34.39696755580836,526.1287832966019,24.224076264745396,189.34905177929124,4.5836481175504105,9.896185586647514,147.08457658468456,168.9184386630554,321.34967804707435,100.29886389402245,41.20073334928341,10.04231352310812,9.300582696007435,11.051658862820512,498.30480085113686,10.27125241263022,9.534261678751118,3.215552951207566,4.071595219081594,4.620671018582659,13.183759155783987,9.018563264961923,41.72301520759176,10.242478094056777,61.06198741314758,17.91598308339461,210.8284701652967,68.32952869297931,15.269481518158948,22.16434843158346,30.974245591452615,839.8803657368736,9.372116044956334,181.87008034824075,1636.5525336734272
BRA,459.60437080393575,183.362131776907,1198.696086936807,95.99096612921416,704823.5326989966,1624.926002856106,273.87311028548726,7250.181566573729,63.430444444951966,43.54486554235445,2902.9094238741686,372.9131265044564,1585.4412553411935,30.583698295316044,237.05869831632307,2465.0275221628945,2129.300409426865,148.67120061887607,76.22375312919999,68.42428605684579,928.5735149395412,2274.7652231128095,179.45106476180814,2661.519918480322,2936.3267691851065,2043.6510788651046,39.14961459010814,20.43889027463306,6.574698569796921,3157.6681407489073,16.227022217416977,3038.788361555195,539.9207687508823,165.08387569346021,873.3135355468953,305.41844013294855,1161.6324943578475,17.90441039499437,105.98647301173699,336.51449808986,510.33605053687563,1023.509725647342,16655.037939282698,27208.470801693322
CAN,1345.5130413388044,327.3291385785952,881.1114753825121,39.7774999707795,767.4786679829748,784179.5357678569,773.2026918960778,3953.019947132688,10.014360973349728,179.59969902323357,3545.040104715499,333.92414112386,2391.4437828118707,7.79540959274615,338.2902528603699,2356.391149950867,10573.890068149767,149.4648513663766,26.90979564224743,137.37134514068717,578.2420166709801,593.1113304994205,757.5042503499815,1299.7579792311071,8896.839736845113,2079.0914142352794,11.511346329317131,36.0864718115412,16.710913547009216,3329.2796035030606,52.637055328537556,933.7189871297949,1279.2329430956593,308.506740291995,84.80895187086355,80.75168424925502,378.162030420405,28.234577618235747,27.89026582504699,823.6509962118462,292.64367754400666,1000.3019704278598,192764.40333467274,29426.531998094164
CHE,793.5508649153501,2751.1328351543584,2456.6241205555452,54.36935439462466,666.6400725570336,1472.000494024149,315474.2094703246,1227.785027257202,92.47595660342466,620.3033580818095,18543.06173591551,949.0181521009017,3554.15451112534,34.86956101383927,520.0335701496289,7141.936191658324,7484.19522156438,636.5216055463688,176.58670976106384,447.5250656116329,195.7989534753647,472.4521302172044,1665.7027222886713,6325.471097878345,3027.7747872061354,681.8127062788893,27.820176850915047,2056.859936640984,55.36557823530329,506.1275090966137,38.6971491539511,2901.536136792521,387.9044318798702,804.5574398681707,491.01466677429516,212.24524860819753,447.95789569534315,161.65142228738733,127.27182526112836,1160.167707602668,1640.4837274688566,525.7382345102931,9390.613351639675,25641.504746841885
CHN,6378.843472009996,751.9757496154446,2500.1032873102936,123.29249004118768,2798.051162626985,7650.566229915753,1096.2986296003937,3951465.2520607375,79.86115307851024,1164.004835815315,14232.570432305774,1801.3111574837385,3174.900427649577,89.92174953035995,1457.0600339440175,7654.422117866535,7734.280868532631,457.5111571885658,125.26771636904124,1812.4322526032163,4841.901318803833,7017.810400657742,2362.086584189182,4913.716322481936,36883.21853648095,21897.344625568163,104.02300238568151,1711.30029474304,58.35337675980309,5143.038094795116,40.284276720754086,3624.6158311679665,656.1593147102126,1085.4112345241622,286.2753792489857,382.03659500608546,2888.2236280103293,191.66155539720975,100.8673991411236,1919.9207311801442,2135.713881332009,11496.377294042426,44173.77031043824,138430.49074649956
CYP,0.6039930437871882,69.52678726110594,39.91670602175282,20.932697216517052,0.14227071894517646,4.909948562263952,29.077641318401344,1.5541344957867003,9321.968840310687,53.72682090546109,214.70903964115797,75.32452467744307,17.69636391879623,83.5747537691644,7.871257030230145,51.480826308045245,304.30308575979785,417.96825622952355,8.152861924988342,67.8758476883169,0.1320310254833915,2.987580217167354,18.429822711501938,98.46189844311355,5.279382882079462,2.588149086543424,14.841052900499717,38.83790887412966,17.704920576778466,0.0962946506359934,6.863431368316563,179.47155397750103,35.30980930761399,48.51878503052991,1.6126588358228928,52.1107532514821,61.10301663529217,19.93137554709171,13.61985462182585,34.48550232594522,0.7205488759527837,1.7872172642804562,879.0562410882153,1069.1863920975002
CZE,92.02255118868811,3023.165648955622,1085.9168690935662,140.86283702913403,188.89078733358116,168.17608056967975,573.6676799838461,225.87089513381795,22.156124552617364,131307.6696889019,15769.850456128388,357.29532662088656,1109.7683793858487,46.01395680099532,219.48874139275338,2574.195098915955,1645.1531660588569,108.695145222449,270.82347474435863,1368.8780806148623,39.239610948272954,334.17847576077725,200.89565377749446,2003.2000926699302,252.01347763460586,80.66001648276702,79.9737976416208,262.248054245256,59.58781556940435,157.495365578261,17.335665088260516,789.6556322198475,243.6434999516601,2588.750949252058,116.80405890938836,443.03874055081116,794.429101601942,3328.048677259336,293.5466769076141,802.8429858996712,404.9309378040805,37.436460824903605,1331.5655810840929,3876.6125047373935
