,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
a,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
b,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
c,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
d,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
e,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
f,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
g,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
h,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
i,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
j,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
k,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
l,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
m,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0
n,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0
o,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0
p,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0
q,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0
r,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0
s,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0
